categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lácteos, Huevos y Congelados",Leche,Leche soprole semidescremada con avena y chocolate 1 l,1450,1650,1450,$1.450 / l,Oferta,https://www.unimarc.cl/product/leche-con-avena-y-chocolate-soprole-1lt,https://unimarc.vtexassets.com/arquivos/ids/247289/000000000000674963-UN-01.jpg.jpg?v=638768066729830000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo loncoleche protein semidescremada bolsa 550 g,10690,12690,10690,$19.436 / kg,Oferta,https://www.unimarc.cl/product/leche-polvo-protein-loncoleche-550-gr,https://unimarc.vtexassets.com/arquivos/ids/243868/000000000000646441-UN-01.jpg?v=638610762237430000
"Lácteos, Huevos y Congelados",Leche,Yoghurt loncoleche protein frutilla 140 g,750,750,,$5.357 / kg,,https://www.unimarc.cl/product/yog-protein-lonco-140g-frutilla,https://unimarc.vtexassets.com/arquivos/ids/238079/000000000638426002-UN-01.jpg?v=638463625085200000
"Lácteos, Huevos y Congelados",Leche,Bebida vegetal loncoleche avena chocolate 1 l,2250,2890,2250,$2.250 / l,Oferta,https://www.unimarc.cl/product/alim-veg-loncoleche-1l-avena,https://unimarc.vtexassets.com/arquivos/ids/227501/000000000650026001-UN-01.jpg?v=637909061460200000
"Lácteos, Huevos y Congelados",Leche,Crema ácida loncoleche pote 140 g,2290,2990,2290,$16.357 / kg,Oferta,https://www.unimarc.cl/product/crema-acida-loncoleche-140gr,https://unimarc.vtexassets.com/arquivos/ids/251285/000000000000685488-UN-01.jpg?v=638929580360570000
"Lácteos, Huevos y Congelados",Leche,Leche protein soprole sabor cappuccino 1 l,2750,2750,,$2.750 / L,,https://www.unimarc.cl/product/leche-protein-soprole-1l-cappuccino,https://unimarc.vtexassets.com/arquivos/ids/249815/000000000681040001-UN-01.jpg?v=638863793121970000
"Lácteos, Huevos y Congelados",Leche,Leche proteína natural soprole semidescremada 1 l,2650,2650,,$2.650 / L,,https://www.unimarc.cl/product/leche-blanca-protein-soprole-1lt,https://unimarc.vtexassets.com/arquivos/ids/223230/000000000000648145-UN-01.jpg?v=637781063205770000
"Lácteos, Huevos y Congelados",Leche,Leche cultivada light colun sabor frutilla 180 ml,580,650,580,$3.222 / l,Oferta,https://www.unimarc.cl/product/leche-cultivada-light-colun-180cc-frutilla,https://unimarc.vtexassets.com/arquivos/ids/229522/000000000604883001-UN-01.jpg?v=637999125177530000
"Lácteos, Huevos y Congelados",Leche,Leche soprole zero lacto frutilla 1 l,1790,1990,1790,$1.790 / l,Oferta,https://www.unimarc.cl/product/leche-zero-lacto-frutilla-soprole-1lt,https://unimarc.vtexassets.com/arquivos/ids/249811/000000000000677071-UN-01.jpg?v=638863783691770000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo nido etapa 5 bolsa 700 g,10190,10190,,$14.557 / kg,,https://www.unimarc.cl/product/leche-en-polvo-etapa-5-opt-nido-700-gr,https://unimarc.vtexassets.com/arquivos/ids/234210/000000000000665280-UN-01.jpg?v=638235877061530000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun origen chocolate 6 un de 200 ml,3890,3890,,$3.242 / L,,https://www.unimarc.cl/product/leche-origen-chocolate-colun-200ml,https://unimarc.vtexassets.com/arquivos/ids/250569/000000000000679147-DIS-01.jpg?v=638902678481730000
"Lácteos, Huevos y Congelados",Leche,Leche cultivada light colun sabor chirimoya 180 ml,580,650,580,$3.222 / l,Oferta,https://www.unimarc.cl/product/leche-cultivada-light-colun-180cc-chirimoya,https://unimarc.vtexassets.com/arquivos/ids/229521/000000000604883002-UN-01.jpg?v=637999123810270000
"Lácteos, Huevos y Congelados",Leche,Yoghurt loncoleche full pro proteína natural 150 g,1190,1190,,$7.933 / kg,,https://www.unimarc.cl/product/yog-full-pro-protein-lonco-150g-natural,https://unimarc.vtexassets.com/arquivos/ids/250698/000000000683598001-UN-01.jpg?v=638906258860870000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo nido semidescremada sin lactosa bolsa 700 g,10290,10290,,$14.700 / kg,,https://www.unimarc.cl/product/leche-inst-semide-s-lactosa-dp-nido-700g,https://unimarc.vtexassets.com/arquivos/ids/233881/000000000000664026-UN-01.jpg?v=638345260355370000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun original sabor chocolate 1 l,1850,1850,,$1.850 / L,,https://www.unimarc.cl/product/leche-semidescremada-chocolate-original-colun-1l,https://unimarc.vtexassets.com/arquivos/ids/200254/000000000000616820-UN-01.jpg?v=637327991750730000
