categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sin Lactosa Chirimoya 1 L Soprole,2590,2590,,,,https://super.lider.cl/ip/leche/leche-cultivada-sin-lactosa-chirimoya/00780290000057?channable=06660b6964003030373830323930303030303537d7,https://i5.walmartimages.cl/asr/91d7be6b-c0dc-4b66-a7c6-729f1c0dca91.38a1b043dc7edcfde95902c532d53c05.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Zero Lacto Chocolate 1 L Soprole,1950,1950,,,,https://super.lider.cl/ip/leche/leche-zero-lacto-chocolate/00780290019507?channable=06660b696400303037383032393030313935303707,https://i5.walmartimages.cl/asr/3f260e70-167d-498b-99db-9ecd09eae3bb.1da7f97de3456d7ce2f898be2c2775c3.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Entera Sin Lactosa Con Tapa 1 L Colun,1390,1390,,,,https://super.lider.cl/ip/leche/leche-entera-sin-lactosa-con-tapa/00780292000739?channable=06660b696400303037383032393230303037333942,https://i5.walmartimages.cl/asr/a60703b9-a450-41b1-b06b-01ccf9f22d9b.709f9f6d908c7b0e97f4d979ff612c83.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Blanca Semidescremada Sin Lactosa 1 L Surlat,1290,1290,,,,https://super.lider.cl/ip/leche/leche-blanca-semidescremada-sin-lactosa/00780870950079?channable=06660b69640030303738303837303935303037393d,https://i5.walmartimages.cl/asr/b2b33eba-75b3-441b-919a-0163c7e296ba.6db3a38bd46151cdbf4d328a52aabdf7.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Break Caramelo 250 ml Loncoleche,650,650,,,,https://super.lider.cl/ip/leche/leche-break-caramelo/00780291000808?channable=06660b696400303037383032393130303038303854,https://i5.walmartimages.cl/asr/1db886c7-d3f6-48eb-8b9f-415892d8c47e.26b8bab89936fdd7cc446b5b69d67e63.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sabor Vainilla Botella 1 L Soprole,2390,2390,,,,https://super.lider.cl/ip/leche/leche-cultivada-sabor-vainilla-botella/00780290017005?channable=06660b696400303037383032393030313730303584,https://i5.walmartimages.cl/asr/23c14f1e-0823-4fa9-9c61-7bd3316fdc1d.d8da738fc0386d1181b546017df4023f.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Protein Sabor Chirimoya 900 ml Loncoleche,3190,3190,,,,https://super.lider.cl/ip/leche/leche-cultivada-protein-sabor-chirimoya/00780291000860?channable=06660b69640030303738303239313030303836304f,https://i5.walmartimages.cl/asr/631b9572-de31-4568-ad35-7a2df154d5b4.999c98d3f386a14fe365d864e6e1b7e1.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Next Sabor Chirimoya Botella 1 L Soprole,2290,2290,,,,https://super.lider.cl/ip/leche/leche-cultivada-next-sabor-chirimoya-botella/00780290034530?channable=06660b696400303037383032393030333435333001,https://i5.walmartimages.cl/asr/bf9226c8-ed31-40a9-bd1f-6c1f88245914.d2aed8f9e777f9fe66efc970f00e00cc.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sin Azúcar Sabor Chirimoya Botella 900 g Loncoleche,2550,2550,,,,https://super.lider.cl/ip/leche/leche-cultivada-sin-azucar-sabor-chirimoya-botella/00780291000096?channable=06660b6964003030373830323931303030303936d4,https://i5.walmartimages.cl/asr/c2068f2f-cdbf-4b82-8123-6530b5f5f127.a81ec35a334a3e0f2cdbb8880da2d3d1.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frambuesa Botella 1 L Colun,2190,2190,,,,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frambuesa-botella/00780292000332?channable=06660b69640030303738303239323030303333323a,https://i5.walmartimages.cl/asr/62819a42-ebc1-42f4-81a1-d82669c96fa1.70a689773273a00da4d34d23fa4efa1a.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frutilla Botella 180 g Colun,640,640,,,,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frutilla-botella/00780292000516?channable=06660b6964003030373830323932303030353136bd,https://i5.walmartimages.cl/asr/b25de232-8203-4b01-acaf-04faae2ec014.0676a125b98519766f211a2afed41e0a.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Natural Semidescremada Lonco Leche 1 L Loncoleche,1150,1150,,,,https://super.lider.cl/ip/leche/leche-natural-semidescremada-lonco-leche/00780291000726?channable=06660b696400303037383032393130303037323612,https://i5.walmartimages.cl/asr/a3797e32-013d-4fbf-b300-b73622da7126.2cd8fcb42fcd7e0cf893d19b9ba5f4ab.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa 1 L Lider,1190,1190,,,,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa/00040005027042?channable=06660b696400303030343030303530323730343299,https://i5.walmartimages.cl/asr/15ed4315-3825-4e5c-84cc-4b884ec2365e.9e6579e16ba8c99b7b936b93fe380fa0.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Natural Extra Calcio Descremada Sin Lactosa Caja 1 L Loncoleche,2550,2550,,,,https://super.lider.cl/ip/leche/leche-descremada-natural-extra-calcio-descremada-sin-lactosa-caja/00780291000315?channable=06660b696400303037383032393130303033313590,https://i5.walmartimages.cl/asr/87eb287e-8844-4a4d-a842-cb2af7bb4c20.a031d098ac87a4f8f567aa5903b03e0a.jpeg
