categoria,subcategoria,nombre,marca,tipo,formato,precio,precio_normal,precio_oferta,precio_referencia,promocion,supermercado,url,imagen_url,producto_base
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frutilla Botella 180 g Colun,Colun,light,180 g,680,680,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frutilla-botella/00780292000516?channable=06660b6964003030373830323932303030353136bd,https://i5.walmartimages.cl/asr/b25de232-8203-4b01-acaf-04faae2ec014.0676a125b98519766f211a2afed41e0a.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Natural Extra Calcio Descremada Sin Lactosa Caja 1 L Loncoleche,Loncoleche,sin lactosa,1 L,2550,2550,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-natural-extra-calcio-descremada-sin-lactosa-caja/00780291000315?channable=06660b696400303037383032393130303033313590,https://i5.walmartimages.cl/asr/87eb287e-8844-4a4d-a842-cb2af7bb4c20.a031d098ac87a4f8f567aa5903b03e0a.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Natural Semidescremada Lonco Leche 1 L Loncoleche,Loncoleche,semidescremada,1 L,1190,1190,,,,Líder,https://super.lider.cl/ip/leche/leche-natural-semidescremada-lonco-leche/00780291000726?channable=06660b696400303037383032393130303037323612,https://i5.walmartimages.cl/asr/a3797e32-013d-4fbf-b300-b73622da7126.2cd8fcb42fcd7e0cf893d19b9ba5f4ab.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa 1 L Lider,Lider,sin lactosa,1 L,1190,1190,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa/00040005027042?channable=06660b696400303030343030303530323730343299,https://i5.walmartimages.cl/asr/15ed4315-3825-4e5c-84cc-4b884ec2365e.9e6579e16ba8c99b7b936b93fe380fa0.jpeg,
"Lacteos, Huevos y Congelados",Leche,Arroz Con Leche Postre Tradicional 130 g Soprole,Soprole,general,130 g,730,730,,,,Líder,https://super.lider.cl/ip/postres-refrigerados/arroz-con-leche-postre-tradicional/00780290022101?channable=06660b69640030303738303239303032323130312f,https://i5.walmartimages.cl/asr/8ff42eb5-a34a-475f-9857-7b51cb3827c8.494068fb4db12e7eaf225ef0ed569a4b.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Vainilla Caja 1 L Loncoleche,Loncoleche,sin lactosa,1 L,2190,2190,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-vainilla-caja/00780291000501?channable=06660b69640030303738303239313030303530318c,https://i5.walmartimages.cl/asr/e77f415c-4292-4f32-a247-b596d83dcc80.0356e30c595ecd659c95cefedc4c1f36.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Caja 1 L Surlat,Surlat,sin lactosa,1 L,1350,1350,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-caja/00780870950199?channable=06660b6964003030373830383730393530313939fe,https://i5.walmartimages.cl/asr/3cf8cd51-cc2a-429d-88ee-5265a6fcb991.e012026706c8e89a9008e8fe881a024c.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Caja 200 ml Surlat,Surlat,sin lactosa,200 mL,560,560,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-caja/00780870950435?channable=06660b696400303037383038373039353034333538,https://i5.walmartimages.cl/asr/013f8e83-1c25-482f-94fd-231826a39149.a897b73b39212021fbda0dbf2763b137.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Proteína Frutilla 510 ml Soprole,Soprole,proteína,510 mL,2050,2050,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-proteina-frutilla/00780290000492?channable=06660b6964003030373830323930303030343932d5,https://i5.walmartimages.cl/asr/a66fd102-4c34-49ea-be59-f9fbd45919d5.c6956f00e2a46269bda893e5c106e789.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sin Lactosa Frutilla 1 L Soprole,Soprole,sin lactosa,1 L,2690,2690,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-sin-lactosa-frutilla/00780290000055?channable=06660b6964003030373830323930303030303535d5,https://i5.walmartimages.cl/asr/c09e3cec-199a-4d5c-b497-15380460db6f.ef729ee0dcc98959b2f1dc6b01ed1d6a.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa Chocolate Caja 1 L Loncoleche,Loncoleche,sin lactosa,1 L,2190,2190,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa-chocolate-caja/00780291000072?channable=06660b6964003030373830323931303030303732cf,https://i5.walmartimages.cl/asr/8eadc5b6-01f6-4ec4-9680-3ac03773c326.1040d4302da30cc18d40b414f3f25a76.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Entera Natural Sin Lactosa 1 L Loncoleche,Loncoleche,sin lactosa,1 L,1390,1390,,,,Líder,https://super.lider.cl/ip/leche/leche-entera-natural-sin-lactosa/00780291000097?channable=06660b6964003030373830323931303030303937d5,https://i5.walmartimages.cl/asr/cd49911c-787e-4508-87a3-64b8853b4ecc.1b609dc93a8f62c96693328a65aef6a3.jpeg,
