duplicado_con_ids,formato,marca,nombre,producto_base,producto_id,supermercados
13466;29470,1 L,Loncoleche,Bebida Vegetal Loncoleche Avena Chocolate 1 L,bebida_vegetal_avena_chocolate_loncoleche_general,13466,
13466;29470,1 L,Loncoleche,Bebida vegetal loncoleche avena chocolate 1 l,bebida_vegetal_avena_chocolate_loncoleche_general,29470,
13596;30594,1 L,Sin marca,Bebida Vegetal Vilay Wilk Chocolate 1 L,bebida_vegetal_vilay_wilk_chocolate_sin,13596,
13596;30594,1 L,Sin marca,Bebida vegetal vilay wilk chocolate 1 l,bebida_vegetal_vilay_wilk_chocolate_sin,30594,
13618;30637,500 mL,Sin marca,Bebida Vegetal OraSì Barista Avena 500 ml,bebida_vegetal_orasi_barista_avena_sin,13618,
13618;30637,500 mL,Sin marca,Bebida vegetal orasi barista avena 500 ml,bebida_vegetal_orasi_barista_avena_sin,30637,
13630;30698,330 mL,Sin marca,Bebida Vegetal Vilay Wilk Capuccino Caramel 330 ml,bebida_vegetal_vilay_wilk_capuccino_caramel,13630,
13630;30698,330 mL,Sin marca,Bebida vegetal vilay wilk capuccino caramel 330 ml,bebida_vegetal_vilay_wilk_capuccino_caramel,30698,
13644;30719,330 mL,Sin marca,Bebida Vegetal Vilay Wilk Capuccino Vainilla 330 ml,bebida_vegetal_vilay_wilk_capuccino_vainilla,13644,
13644;30719,330 mL,Sin marca,Bebida vegetal vilay wilk capuccino vainilla 330 ml,bebida_vegetal_vilay_wilk_capuccino_vainilla,30719,
13661;30686,330 mL,Sin marca,Bebida Vegetal Vilay Wilk Te Chai 330 ml,bebida_vegetal_vilay_wilk_te_chai,13661,
13661;30686,330 mL,Sin marca,Bebida vegetal vilay wilk té chai 330 ml,bebida_vegetal_vilay_wilk_te_chai,30686,
13733;30692,500 mL,Sin marca,Bebida Vegetal OraSì Barista Soya 500 ml,bebida_vegetal_orasi_barista_soya_sin,13733,
13733;30692,500 mL,Sin marca,Bebida vegetal orasi barista soya 500 ml,bebida_vegetal_orasi_barista_soya_sin,30692,
13767;13873,1 L,Sin marca,Bebida Vegetal OraSi Almendra 1 L,bebida_vegetal_orasi_almendra_sin_marca,13767,
13767;13873,1 L,Sin marca,Bebida Vegetal OraSì Almendra 1 L,bebida_vegetal_orasi_almendra_sin_marca,13873,
14277;30067,210 g,Miraflores,Arroz Preparado Miraflores Chaufan 210 g,arroz_preparado_chaufan_miraflores_general_210,14277,
14277;30067,210 g,Miraflores,Arroz preparado miraflores chaufán 210 g,arroz_preparado_chaufan_miraflores_general_210,30067,
14288;30074,210 g,Miraflores,Arroz Preparado Miraflores Campesino 210 g,arroz_preparado_campesino_miraflores_general_210,14288,
14288;30074,210 g,Miraflores,Arroz preparado miraflores campesino 210 g,arroz_preparado_campesino_miraflores_general_210,30074,
14290;30065,175 g,Miraflores,Arroz Preparado Miraflores Curry 175 g,arroz_preparado_curry_miraflores_general_175,14290,
14290;30065,175 g,Miraflores,Arroz preparado miraflores curry 175 g,arroz_preparado_curry_miraflores_general_175,30065,
14314;30086,500 g,Tucapel,Harina de Arroz Tucapel 500 g,harina_arroz_tucapel_general_500_g,14314,
14314;30086,500 g,Tucapel,Harina de arroz tucapel 500 g,harina_arroz_tucapel_general_500_g,30086,
14322;30060,400 g,Tucapel,Arroz Sushi Tucapel 400 g,arroz_sushi_tucapel_general_400_g,14322,
14322;30060,400 g,Tucapel,Arroz sushi tucapel 400 g,arroz_sushi_tucapel_general_400_g,30060,
14376;30145,900 mL,Sin marca,Aceite Vegetal Natura 900 ml,aceite_vegetal_natura_sin_marca_general,14376,
14376;30145,900 mL,Sin marca,Aceite vegetal natura 900 ml,aceite_vegetal_natura_sin_marca_general,30145,
14482;30277,250 g,Copacabana,Café Molido Copacabana 250 g,cafe_molido_copacabana_general_250_g,14482,
14482;30277,250 g,Copacabana,Café molido copacabana 250 g,cafe_molido_copacabana_general_250_g,30277,
14729;30301,1 kg,Sin marca,Azúcar Blanca Iansa 1 kg,azucar_blanca_iansa_sin_marca_general,14729,
14729;30301,1 kg,Sin marca,Azúcar blanca iansa 1 kg,azucar_blanca_iansa_sin_marca_general,30301,
14731;30309,500 g,Sin marca,Azúcar Rubia Iansa 500 g,azucar_rubia_iansa_sin_marca_general,14731,
14731;30309,500 g,Sin marca,Azúcar rubia iansa 500 g,azucar_rubia_iansa_sin_marca_general,30309,
14732;30304,1 kg,Sin marca,Azúcar Rubia Iansa 1 kg,azucar_rubia_iansa_sin_marca_general,14732,
14732;30304,1 kg,Sin marca,Azúcar rubia iansa 1 kg,azucar_rubia_iansa_sin_marca_general,30304,
14737;30305,5 kg,Sin marca,Azúcar Blanca Iansa 5 kg,azucar_blanca_iansa_sin_marca_general,14737,
14737;30305,5 kg,Sin marca,Azúcar blanca iansa 5 kg,azucar_blanca_iansa_sin_marca_general,30305,
14739;30306,1 kg,Sin marca,Azúcar Flor Iansa 1 kg,azucar_flor_iansa_sin_marca_general,14739,
14739;30306,1 kg,Sin marca,Azúcar flor iansa 1 kg,azucar_flor_iansa_sin_marca_general,30306,
14744;30314,420 g,Sin marca,Azúcar Rubia Iansa Cubitos 420 g,azucar_rubia_iansa_cubitos_sin_marca,14744,
14744;30314,420 g,Sin marca,Azúcar rubia iansa cubitos 420 g,azucar_rubia_iansa_cubitos_sin_marca,30314,
14751;30308,500 g,Sin marca,Azúcar Flor Iansa 500 g,azucar_flor_iansa_sin_marca_general,14751,
14751;30308,500 g,Sin marca,Azúcar flor iansa 500 g,azucar_flor_iansa_sin_marca_general,30308,
14752;30318,500 g,Sin marca,Azúcar Blanca Iansa Cubitos 500 g,azucar_blanca_iansa_cubitos_sin_marca,14752,
14752;30318,500 g,Sin marca,Azúcar blanca iansa cubitos 500 g,azucar_blanca_iansa_cubitos_sin_marca,30318,
14781;30400,400 g,Sin marca,Pasta Rigati Trattoria 400 g,pasta_rigati_trattoria_sin_marca_general,14781,
14781;30400,400 g,Sin marca,Pasta rigati trattoría 400 g,pasta_rigati_trattoria_sin_marca_general,30400,
14821;30397,400 g,Carozzi,Pasta Fettuccine N°88 Carozzi 400 g,pasta_fettuccine_n_88_carozzi_general,14821,
14821;30397,400 g,Carozzi,Pasta fettuccine n°88 carozzi 400 g,pasta_fettuccine_n_88_carozzi_general,30397,
15334;30461,200 g,Sin marca,Salsa de Tomate Pomarola Natural 200 g,salsa_tomate_pomarola_sin_marca_general,15334,
15334;30461,200 g,Sin marca,Salsa de tomate pomarola natural 200 g,salsa_tomate_pomarola_sin_marca_general,30461,
15339;30472,200 g,Sin marca,Salsa de Tomate Pomarola Casera 200 g,salsa_tomate_pomarola_casera_sin_marca,15339,
15339;30472,200 g,Sin marca,Salsa de tomate pomarola casera 200 g,salsa_tomate_pomarola_casera_sin_marca,30472,
15341;30457,200 g,Sin marca,Salsa de Tomate Pomarola Italiana 200 g,salsa_tomate_pomarola_italiana_sin_marca,15341,
15341;30457,200 g,Sin marca,Salsa de tomate pomarola italiana 200 g,salsa_tomate_pomarola_italiana_sin_marca,30457,
15342;30494,200 g,Carozzi,Salsa de Tomate Carozzi Toscana Arrabbiata 200 g,salsa_tomate_toscana_arrabbiata_carozzi_general,15342,
15342;30494,200 g,Carozzi,Salsa de tomate carozzi toscana arrabbiata 200 g,salsa_tomate_toscana_arrabbiata_carozzi_general,30494,
15359;30485,200 g,Carozzi,Salsa Lista Carozzi Bechamel 200 g,salsa_lista_bechamel_carozzi_general_200,15359,
15359;30485,200 g,Carozzi,Salsa lista carozzi bechamel 200 g,salsa_lista_bechamel_carozzi_general_200,30485,
15451;30533,200 g,Sin marca,Salsa de Tomate Malloa Italiana 200 g,salsa_tomate_malloa_italiana_sin_marca,15451,
15451;30533,200 g,Sin marca,Salsa de tomate malloa italiana 200 g,salsa_tomate_malloa_italiana_sin_marca,30533,
15457;30462,200 g,Sin marca,Salsa de Tomate Doña Clara Italiana 200 g,salsa_tomate_dona_clara_italiana_sin,15457,
15457;30462,200 g,Sin marca,Salsa de tomate doña clara italiana 200 g,salsa_tomate_dona_clara_italiana_sin,30462,
15680;30234,500 mL,Sin marca,Vinagre Incoloro Traverso 500 ml,vinagre_incoloro_traverso_sin_marca_general,15680,
15680;30234,500 mL,Sin marca,Vinagre incoloro traverso 500 ml,vinagre_incoloro_traverso_sin_marca_general,30234,
15753;16169,1 L,Sin marca,Aceite de Oliva Extra Virgen 1 L,aceite_oliva_extra_virgen_sin_marca,15753,
15753;16169,1 L,Sin marca,Aceite de Oliva extra virgen 1 L,aceite_oliva_extra_virgen_sin_marca,16169,
15754;16170,500 mL,Sin marca,Aceite de Oliva Extra Virgen 500 ml,aceite_oliva_extra_virgen_sin_marca,15754,
15754;16170,500 mL,Sin marca,Aceite de Oliva extra virgen 500 ml,aceite_oliva_extra_virgen_sin_marca,16170,
15765;30147,500 mL,Sin marca,Aceite de Oliva Chef Extra Virgen 500 ml,aceite_oliva_chef_extra_virgen_sin,15765,
15765;30147,500 mL,Sin marca,Aceite de oliva chef extra virgen 500 ml,aceite_oliva_chef_extra_virgen_sin,30147,
15789;30170,500 mL,Sin marca,Aceite de Oliva Banquete Extra Virgen 500 ml,aceite_oliva_banquete_extra_virgen_sin,15789,
15789;30170,500 mL,Sin marca,Aceite de oliva banquete extra virgen 500 ml,aceite_oliva_banquete_extra_virgen_sin,30170,
15812;30206,900 g,Sin marca,Sal de Mar Lobos Fina 900 g,sal_mar_lobos_fina_sin_marca,15812,
15812;30206,900 g,Sin marca,Sal de mar lobos fina 900 g,sal_mar_lobos_fina_sin_marca,30206,
15872;30150,500 mL,Sin marca,Aceite de Oliva Huasco Extra Virgen 500 ml,aceite_oliva_huasco_extra_virgen_sin,15872,
15872;30150,500 mL,Sin marca,Aceite de oliva huasco extra virgen 500 ml,aceite_oliva_huasco_extra_virgen_sin,30150,
15961;30240,500 mL,Sin marca,Aceto Balsámico Imperatore 500 ml,aceto_balsamico_imperatore_sin_marca_general,15961,
15961;30240,500 mL,Sin marca,Aceto balsámico imperatore 500 ml,aceto_balsamico_imperatore_sin_marca_general,30240,
15981;30248,3 L,Sin marca,Vinagre Incoloro Traverso 3 L,vinagre_incoloro_traverso_sin_marca_general,15981,
15981;30248,3 L,Sin marca,Vinagre incoloro traverso 3 l,vinagre_incoloro_traverso_sin_marca_general,30248,
15990;30164,1 L,Sin marca,Aceite de Oliva Huasco Extra Virgen 1 L,aceite_oliva_huasco_extra_virgen_sin,15990,
15990;30164,1 L,Sin marca,Aceite de oliva huasco extra virgen 1 l,aceite_oliva_huasco_extra_virgen_sin,30164,
16005;30243,500 mL,Sin marca,Aceto Balsámico Kardamili 500 ml,aceto_balsamico_kardamili_sin_marca_general,16005,
16005;30243,500 mL,Sin marca,Aceto balsámico kardamili 500 ml,aceto_balsamico_kardamili_sin_marca_general,30243,
16028;30233,500 mL,Sin marca,Vinagre Manzana Traverso 500 ml,vinagre_manzana_traverso_sin_marca_general,16028,
16028;30233,500 mL,Sin marca,Vinagre manzana traverso 500 ml,vinagre_manzana_traverso_sin_marca_general,30233,
16046;30159,1 L,Sin marca,Aceite de Oliva Banquete Extra Virgen 1 L,aceite_oliva_banquete_extra_virgen_sin,16046,
16046;30159,1 L,Sin marca,Aceite de oliva banquete extra virgen 1 l,aceite_oliva_banquete_extra_virgen_sin,30159,
16056;30180,250 mL,Sin marca,Aceite de Oliva Banquete Extra Virgen 250 ml,aceite_oliva_banquete_extra_virgen_sin,16056,
16056;30180,250 mL,Sin marca,Aceite de oliva banquete extra virgen 250 ml,aceite_oliva_banquete_extra_virgen_sin,30180,
16279;30128,500 g,Sin marca,Suprema de Arvejas Martini 500 g,suprema_arvejas_martini_sin_marca_general,16279,
16279;30128,500 g,Sin marca,Suprema de arvejas martini 500 g,suprema_arvejas_martini_sin_marca_general,30128,
