sup,nombre,categoria,subcategoria,reason,conf
Jumbo,Crema Facial Bioherapy Hidratante Iluminadora 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Hidratante Nivea Matizante 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Mr. Músculo Crema Floral 450 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Limpiador Crema Mr. Músculo Lavanda 450 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Facial de Día Antiarrugas Reafirmante de Nivea 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Tratamiento Antiedad y Firmeza Crema Colágeno + Tónico,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Neutrogena Face Care Intensive 100 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Antiarrugas Nivea Q10 Energy Día FPS 15 - 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Hidratante Nutritiva Día 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Teatrical Anti-Arrugas 200 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Cellular Filler Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Cellular Filler Día 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Regeneradora Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Antiarrugas Nivea Q10 Power Día FPS 30 - 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Neutrogena Hydro Boost Water Gel 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Q10 Día Antiarrugas Reducción de Poros 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador de Baño Lysoform Antibacterial Crema 450 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Facial Nivea Rose Care Gel 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Cellular Luminous 630 Anti-Manchas Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Nivea Q10 Power Antiarrugas Cuidado de Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal UV Defender Hidratante FPS 50 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Teatrical Pie Coreana 200 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Corporal Nivea Rosa & Aceite de Argán 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Ballerina Crema Piel Sensible 450 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Protector Solar Eucerin Crema Facial FPS 50 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Shampoo Anticaspa Crema Eucerin Dermocapillaire 250 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Frosch Limón 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Facial Agrado Anti-Mancha F50+ 75 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Nivea Cellular Expert Filler con Ácido Hialurónico 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Bebé Mustela Hydra 40 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Neutrogena Hydroboost FPS 25 - 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Neutrogena: Sérum Hydro Boost 30 ml + Crema Facial Water Gel 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Nivea Crema Facial Piel Seca 50 ml + Crema Regeneradora de Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Contorno de Ojos Nivea Cellular Luminous 630 Anti-Manchas Anti-Ojeras 15 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Contorno de Ojos Nivea Q10 Anti-Arrugas 15 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
