timestamp,source,nombre,categoria,subcategoria,reason,suggested_category,suggested_subcategory,confidence
2026-06-01T22:38:31,scraper_lider,Yoghurt + Cereal Milo 142 g Nestlé,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:31,scraper_lider,Salchichón Cerveza Mini Pza 400 g Winter,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Cervezas,Media
2026-06-01T22:38:31,scraper_lider,Leche Sabor Chocolate 200 ml Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:32,scraper_lider,Bebida Vegetal Notmilk Original 1 L NotCo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:33,scraper_lider,Bebida Láctea Probiótico Original Multipack Botella 6 Un x 80 ml Chamyto,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:33,scraper_lider,Bebida Láctea Probiótico Sabor Multifruta Pack Botella 6 Botellas 90 cc c/u Calán,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:33,scraper_lider,Saborizante De Leche Proteína 144 g Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:33,scraper_lider,Bebida Láctea Sabor Frutilla 200 ml Surlat,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:33,scraper_lider,Bebida Láctea Sabor Chocolate 200 ml Surlat,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:33,scraper_lider,Bebida Láctea Sabor Vainilla 200 ml Surlat,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:34,scraper_lider,Bebida Vegetal Soya Natural Caja 1 L Loncoleche,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:35,scraper_lider,Bebida Leche Láctea Yogu Yogu Damasco Caja,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:35,scraper_lider,Bebida Leche Láctea Yogu Yogu Frutilla Caja,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:35,scraper_lider,Bebida Leche Láctea Yogu Yogu Mora Caja,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:35,scraper_lider,Bebida Leche Láctea Yogu Yogu Piña Caja,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:35,scraper_lider,Saborizante De Leche Tradicional 200 g Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:35,scraper_lider,Bebida Láctea Probiótico Uno Sabor Frutilla Pack 12 Caja 80 ml Soprole,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Yoghurt Batido Sabor Mora 115 g Yogu Yogu,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Yoghurt Batido Sabor Frutilla 115 g Yogu Yogu,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Bebida Láctea Sin Lactosa Con Probióticos Sabor Frutilla 320 g Surlat,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Bebida Láctea Sin Lactosa Con Probióticos Sabor Manzana. 320 ml Surlat,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Bebida De Coco Original 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Bebida Vegetal Chocolate 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:36,scraper_lider,Bebida Barista Almendra 1 L Orasi,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:37,scraper_lider,Bebida Láctea Sin Lactosa Chocolate 200 ml Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:37,scraper_lider,Salchichón Cerveza 250 g Cecinas de León,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Cervezas,Media
2026-06-01T22:38:38,scraper_lider,Bebida De Almendras Sabor Chocolate 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:38,scraper_lider,Bebida De Almendras Sabor Vainilla 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:38,scraper_lider,Bebida Vegetal Arroz Chocolate 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:38,scraper_lider,Bebida Vegetal Sin Azúcar Coco 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:38,scraper_lider,Bebida De Almendras Sabor Original 200 ml Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:38,scraper_lider,Bebida De Almendras Sabor Vainilla 200 ml Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
