cantidad_productos,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
3,0.2l;0.3l;1.5l,sin marca,formatos incompatibles,Néctar Watt's Durazno 200 cc | Néctar Watt's Durazno 1.5 L | Néctar Watt's Durazno 300 ml,nectar_watt_s_durazno_sin_marca,18993;21337;21645
2,0.16kg;0.4kg,sin marca,formatos incompatibles,Maní Salado Marco Polo Bolsa 400 g | Maní Salado Marco Polo Bolsa 160 g,mani_salado_marco_polo_bolsa_sin,18996;19000
2,0.107kg;0.321kg,sin marca,formatos incompatibles,Galletas Selz Cracker Horneadas 107 g | Galletas Selz Cracker Horneadas 321 G,galletas_selz_cracker_horneadas_sin_marca,19004;19005
2,0.042kg;0.25kg,sin marca,formatos incompatibles,Ramitas Queso Marco Polo 250 g | Ramitas Queso Marco Polo 42 g,ramitas_queso_marco_polo_sin_marca,19016;19141
2,0.13kg;0.22kg,sin marca,formatos incompatibles,Galletas Frac Chocolate 130 g | Galletas Frac Chocolate 220 g,galletas_frac_chocolate_sin_marca_general,19069;19643
2,0.1kg;0.3kg,sin marca,formatos incompatibles,Chocolate de Leche Villars con Avellanas 100 g | Chocolate de Leche Villars con Avellanas 300 g,chocolate_leche_villars_con_avellanas_sin,19112;19347
2,0.035kg;0.18kg,sin marca,formatos incompatibles,Chips Tika Nativas Andinas 180 g | Chips Tika Nativas Andinas 35 g,chips_tika_nativas_andinas_sin_marca,19127;19251
2,0.03kg;0.145kg,sin marca,formatos incompatibles,Chocolate Muibon con Leche 145 g | Chocolate Muibon con Leche 30 g,chocolate_muibon_con_leche_sin_marca,19190;19248
2,0.04kg;0.1kg,sin marca,formatos incompatibles,Chocolate Muibon con Maní 100 g | Chocolate Muibon con Maní 40 g,chocolate_muibon_con_mani_sin_marca,19191;19227
2,0.2l;1.5l,sin marca,formatos incompatibles,Néctar Livean Piña 200 ml | Néctar Livean Piña 1.5 L,nectar_livean_pina_sin_marca_general,19249;21603
2,0.038kg;0.1kg,sin marca,formatos incompatibles,Chocolate Muibon Burbumilk 38 g | Chocolate Muibon Burbumilk 100 g,chocolate_muibon_burbumilk_sin_marca_general,19365;19916
2,0.025kg;0.12kg,sin marca,formatos incompatibles,Chocolate Muibon Almendras 25 g | Chocolate Muibon Almendras 120 g,chocolate_muibon_almendras_sin_marca_general,19449;19505
2,0.055kg;0.15kg,sin marca,formatos incompatibles,Chocolate de Leche Sahne Nuss 150 g | Chocolate de Leche Sahne Nuss 55 g,chocolate_leche_sahne_nuss_sin_marca,19479;19686
2,0.09kg;0.36kg,sin marca,formatos incompatibles,Gomitas Mogul Halloween 360 g | Gomitas Mogul Halloween 90 g,gomitas_mogul_halloween_sin_marca_general,19498;19929
2,0.108kg;0.378kg,sin marca,formatos incompatibles,Pack Galletas Oreo Sabor Chocolate 108 g 3 un. | Pack Galletas Oreo Sabor Chocolate 378 g 3 un.,pack_galletas_oreo_sabor_chocolate_3,19528;19869
